category,standard_name,aliases
,,부틸하이드록시톨루엔
식물추출물,비터오렌지껍질추출물,비터오렌지껍질추출물
기초원료,빙하수,빙하수
살충제,사이퍼메트린,사이퍼메트린
,,싸이퍼메트린
식물추출물,살비아잎추출물,살비아잎추출물
음이온계 계면활성제,소듐라우레스설페이트,라우릴 에테르 에톡시 설페이트 나트륨
,,라우릴 에테르 황산나트륨
,,라우릴에테르황산나트륨
,,로릴 에톡시황산 나트륨
,,로릴에톡시황산나트륨
,,소듐 라우레스설페이트
,,에톡실화된 알코올 C12-14 황산 소듐염
음이온계 계면활성제,소듐라우레이트,라우릭애씨드소듐솔트
음이온계 계면활성제,소듐라우릴글루코오스카복실레이트,소듐라우릴글루코오스카복실레이트
음이온계 계면활성제,소듐미리스테이트,소듐미리스테이트
음이온계 계면활성제,소듐알킬벤젠설포네이트,C10-13 알킬벤젠 설폰산 나트륨염
,,C10-13 알킬벤젠설폰산 나트륨염
,,소듐알킬벤젠설포네이트
,,알킬벤젠술폰산염
음이온계 계면활성제,소듐코코일글루타메이트,소듐코코일글루타메이트
보존제/살균보조,소듐피리싸이온,소듐 피리싸이온
,,소듐피리싸이온
보습,소듐하이알루로네이트,소듐하이알루로네이트
비이온계 계면활성제,소르비탄모노올리에이트,소르비탄 모노올레이트
식물추출물,솔잎추출물,솔잎추출물
,,솔잎추출물(100 ppm)
pH조절제,수산화나트륨,수산화 나트륨
,,수산화나트륨
pH조절제,수산화칼륨,수산 화칼륨
,,수산화칼륨
,,포타슘하이드록사이드
흡착/분말,숯가루,숯가루
지방산,스테아릭애씨드,스테아르산
,,스테아린 산
,,스테아린산
부직포/기재,스펀레이스,스펀레이스
향료 알레르기성분,시트랄,시트랄
향료 알레르기성분,시트로넬롤,시트로넬롤
무기염/성능보조,시트르산아연이수화물,시트르산 아연 이수화물
천연산/세정보조,식초,레몬식초
,,레몬식초(100 ppm)
,,발효식초
,,비니거
향료 알레르기성분,신나밀알코올,신나밀알코올
식물추출물,쑥잎추출물,쑥잎추출물
무기염/천연성분,씨솔트,씨솔트
pH조절제,아미노메틸프로판올,아미노메틸프로판올
효소,아밀라아제,아밀라아제
향료 알레르기성분,아밀신남알,아밀신남알
식물오일,아보카도오일,아보카도오일
용제/향료,아세트산에틸,아세트산 에틸
,,아세트산에틸
향료 구성성분,아이소이수퍼,아이소이수퍼
,,이소이수퍼
향료/용제,아이소프로필미리스테이트,아이소프로필 미리스테이트
,,이소프로필 미리스테이트
보존제,아이오도프로피닐부틸카바메이트,"카밤산, N-뷰틸-, 3-아이오도-2-프로파인-1-일 에스터"
환원제/보존보조,아황산나트륨,아황산나트륨
식물추출물,알로에베라잎추출물,알로에베라 추출액
,,알로에베라 추출액(100 ppm)
,,알로에베라잎추출물
,,알로에베라추출액
,,알로에엑스가루
비이온계 계면활성제,알코올 C12-14 에톡실레이트,C12-14 에톡실레이트
,,알코올 C12-14 에톡실레이트
,,"알코올, C12 14, 에톡실레이트"
,,"알코올, C12-14, 에톡실레이트"
,,"알코올, C12-14, 에톡실레이트(비이온계)"
비이온계 계면활성제,알코올 C12-16 에톡실레이트,알코올 C12-16 에톡실레이트
,,알코올 C12-16 에톡실레이티드
비이온계 계면활성제,알코올폴리옥시에틸렌에테르,알코올폴리옥시에틸렌에테르
비이온계 계면활성제,알킬글루코사이드,알킬글루코사이드
,,알킬글루코시드
양쪽성 계면활성제,알킬디메틸아민옥사이드,알킬디메틸아미옥사이드
,,알킬디메틸아민옥사이드
음이온계 계면활성제,알킬벤젠설폰산,"벤젠설폰산, 4-C10-13-sec-알킬 유도체"
,,"벤젠설폰산, 모노C10-13-알킬 유도체"
,,"벤젠설폰산, 모노C10-13-알킬유도체"
,,알킬벤젠설폰산
음이온계 계면활성제,알파-올레핀설폰산나트륨,a-올레핀설폰산나트륨
,,α-올레핀설폰산나트륨
,,"설폰산, C14-16 알케인 하이드록시와 C14-16 알켄, 소듐염"
향료 알레르기성분,알파-이소메칠이오논,알파-아이소메틸아이오논
,,알파-이소매칠이오논
,,알파-이소메칠이오논
추진제,액화석유가스,액화석유가스
,,액화석유가스(부탄 등)
양이온계 계면활성제/유연제,에스터쿼터너리암모늄염,에스터 쿼터너리 암모늄 염
,,에스터 쿼터너리 암모늄염
용제/보존제,에탄올,디퓨저 베이스(에탄올 등)
,,무수에탄올
,,알코올
,,알코올 (용제)
,,알코올(용제)
,,에탄올
고분자/기재,에틸렌비닐아세트산,에틸렌비닐아세트산
pH조절제,염산,염산
무기염/점도조절,염화나트륨,소듐클로라이드
,,염화 나트륨
,,염화나트륨
무기염,염화마그네슘,염화마그네슘
탈취/무기염,염화아연,염화아연
무기물,오산화인,오산화인
,,오산화인(전인산염)
비이온계 계면활성제,"옥시레인, 모노(2-에틸헥실) 에테르","옥시레인, 모노(2-에틸헥실) 에테르"
실리콘/향료보조,옥타메틸사이클로테트라실록세인,옥타메틸사이클로테트라실록세인
기초원료,온천수,온천수
식물추출물,유자껍질추출물,유자껍질추출물
식물추출물,유칼립투스잎추출물,유칼립투스잎추출물
식물추출물,육계나무껍질추출물,육계나무껍질추출물
양이온계 계면활성제/유연제,이미다졸린쿼터너리암모늄염,이미다졸린 쿼터너리 암모늄 염
,,이미다졸린 쿼터너리 암모늄염
살충제,이미프로트린,이미프로트린
산/세정성분,인산,인산
식물추출물,인산,자몽종자추출물
점증제,잔탄검,잔탄검
용제/기초원료,정제수,물
,,물(정제수)
,,정제수
,,정제수 (용제)
향료 알레르기성분,제라니올,제라니올
살충제,제타-사이퍼메트린,제타 싸이퍼메트린
,,제타-사이퍼메트린
,,제타-싸이퍼메트린
양이온계 계면활성제/유연제,"지방산(C10-20 및 C16-18 불포화), 트리에탄올아민 반응물, 다이메틸설페이트 사급화물",지방산 C10-20 그리고 불포화C16-18 트라이에탄올아민과 반응물 다이-메틸 설페이트-4기화
산화제/살균,차아염소산나트륨,차아염소산나트륨
기타,카밤산,카밤산
점증제,카보머,카보머
에몰리언트,카프릴릭/카프릭 트라이글리세라이드,카프릴릭/카프릭 트라이글리세라이드
보존보조/보습,카프릴릴글라이콜,카프릴릴글라이콜
보존보조,카프릴하이드록사믹애씨드,카프릴하이드록사믹애씨드
향료 구성성분,캄펜,캄펜
양쪽성 계면활성제,코카미도프로필베타인,코코넛 아미도 프로필 베타인
,,코코넛아미도 프로필 베타인
,,코코넛아미도 프로필 베타인 (비이온계)
,,코코넛아미도프로필 베타인
식물오일,코코넛야자오일,코코넛야자오일
식물오일,코튼씨오일,코튼씨오일
향료 알레르기성분,쿠마린,쿠마린
식물추출물,크리산텔룸인디쿰추출물,크리산텔룸 인디쿰 추출물
,,크리산텔룸 인디쿰추출물
알칼리/세정보조,탄산나트륨,탄산나트륨
알칼리/세정보조,탄산수소나트륨,베이킹소다
,,이탄산 나트륨
,,탄산수소나트륨
,,탄산수소나트륨(베이킹소다 0.5%)
,,탄산수소나트륨(베이킹소다 500 ppm)
향료 구성성분,터피네올아세테이트,터피네올아세테이트
킬레이트제,테트라소듐글루타메이트다이아세테이트,테트라소듐그루타메이트다이아세테이트
,,테트라소듐글루타메이트다이아세테이트
킬레이트제,테트라소듐이디티에이,이디티에이4나트륨
,,테트라소듐이디티에이
식물추출물,티트리꽃/잎/줄기추출물,티트리꽃/잎/줄기추출물
보습/컨디셔닝,판테놀,판테놀
지방산,팔미틱애씨드,팔미트산
,,팔미틴 산
,,팔미틴산
음이온계 계면활성제,팜핵오일지방산나트륨,지방산 팜핵 오일 소듐염
보존제/용제,페녹시에탄올,2-페녹시에탄올
,,페녹시에탄올
식물수/탈취,편백수,편백수
식물오일/향료,편백오일,편백오일
소포제/실리콘,폴리다이메틸실록산,폴리디메틸실록산
비이온계 계면활성제,폴리소르베이트20,폴리소르베이트 20
,,폴리소르베이트20
비이온계 계면활성제,폴리소르베이트80,폴리소르베이트 80
,,폴리소르베이트80
용제/점도조절,폴리에틸렌글라이콜,폴리에틸렌 글리콜
비이온계 계면활성제,폴리에틸렌옥틸페닐에테르,폴리에틸렌 옥틸페닐 에테르
고분자/기재,폴리에틸렌테레프탈레이트,폴리에틸렌테레프탈레이트
비이온계 계면활성제,폴리옥시알킬렌알킬에테르,폴리옥시알킬렌알킬에테르
